date,transaction type,debit currency,debit value,credit currency,credit value,fee currency,fee value,trade currency pair,trade price currency,trade price,order id,address,transactionHash
2026-04-22 05:02:00 Z,Deposit,,,ZAR,100,,,,,,,,
2026-04-22 04:37:46 Z,Withdraw,ZAR,100,,,ZAR,0,,,,,,
2026-04-21 19:50:05 Z,Limit Sell,BTC,0.00000962,ZAR,11.97666221284,ZAR,0.04206554716,BTCZAR,ZAR,1249348,019db197-c124-7a8a-be07-78eb4cded1af,,
2026-04-21 19:47:45 Z,Limit Sell,BTC,0.00000955,ZAR,11.889218929275,ZAR,0.041758420725,BTCZAR,ZAR,1249317,019db195-9c15-797d-8f70-9826d23e5cff,,
2026-04-21 19:45:05 Z,Limit Sell,BTC,0.00000959,ZAR,11.92192024268,ZAR,0.04187327732,BTCZAR,ZAR,1247528,019db193-2a6d-7c1e-84cf-0ed90d26ede6,,
2026-04-21 19:45:04 Z,Limit Sell,BTC,0.00000959,ZAR,11.922044476335,ZAR,0.041873713665,BTCZAR,ZAR,1247541,019db193-29c4-7ad7-a8ca-054265168547,,
2026-04-21 19:43:37 Z,Limit Sell,BTC,0.00000966,ZAR,11.99994107067,ZAR,0.04214730933,BTCZAR,ZAR,1246593,019db191-d2e0-7d09-88be-651e3e9d7e3a,,
2026-04-21 19:42:00 Z,Limit Sell,BTC,0.00000982,ZAR,12.20363960174,ZAR,0.04286275826,BTCZAR,ZAR,1247098,019db190-5a86-77bb-a6c2-4eef7390376d,,
2026-04-21 19:42:00 Z,Limit Sell,USDT,5.2937,ZAR,87.605309751555,ZAR,0.307695518445,USDTZAR,ZAR,16.6071,019db190-5a47-79e4-9011-26c2701b8c3f,,
2026-04-21 18:04:25 Z,Transfer,,,ZAR,25.0005836,,,,,,,,
2026-04-21 18:02:01 Z,Transfer,,,BTC,0.0000622399999999999995,,,,,,,,
2026-04-21 18:01:52 Z,Transfer,,,USDT,5.32416699459999999,,,,,,,,
