date,action,rule,trade_pct,btc_price,usdt_before,usdt_delta,usdt_after,btc_before,btc_delta,btc_fee,btc_after,nav,peak_nav,drawdown_pct,bear_pause,contrib_gross,contrib_net,perf_fee_paid,cum_gross_contrib,cagr_pct,,,
2020/01/01,BUY,Base3,22,7440.92,10402.4918,-2288.5482,8113.9436,0,0.30731648,0.00024605,0.30731648,10400.66,10400.66,0,0,500,495.3568,0,10500,0,,,
2020/01/02,BUY,Base3,22,7241.52,8113.9436,-1785.0676,6328.876,0.30731648,0.24630734,0.0001972,0.55362382,10337.95,10400.66,0.6029,0,0,0,0,10500,0,,,
2020/01/03,BUY,Base3,22,7509.88,6328.876,-1392.3527,4936.5233,0.55362382,0.18525447,0.00014832,0.73887829,10485.41,10485.41,0,0,0,0,0,10500,0,,,
2020/01/04,BUY,Base3,22,7413.57,4936.5233,-1086.0351,3850.4881,0.73887829,0.14637567,0.00011719,0.88525396,10413.38,10485.41,0.687,0,0,0,0,10500,0,,,
2020/01/05,BUY,Base3,22,7585.67,3850.4881,-847.1074,3003.3808,0.88525396,0.11158272,0.00008934,0.99683668,10565.05,10565.05,0,0,0,0,0,10500,75.7689,,,
2020/01/06,BUY,Base3,22,7953.73,3003.3808,-660.7438,2342.637,0.99683668,0.08300699,0.00006646,1.07984367,10931.42,10931.42,0,0,0,0,0,10500,1794.3129,,,
2020/01/07,BUY,Base3,22,8297.71,2342.637,-515.3801,1827.2569,1.07984367,0.06206144,0.00004969,1.14190511,11302.45,11302.45,0,0,0,0,0,10500,8751.0177,,,
2020/01/08,BUY,Base3,22,8178.63,1827.2569,-401.9965,1425.2603,1.14190511,0.04911274,0.00003932,1.19101785,11166.15,11302.45,1.2059,0,0,0,0,10500,2376.9434,,,
2020/01/09,BUY,Base3,22,8080.64,1425.2603,-313.5573,1111.7031,1.19101785,0.03877248,0.00003104,1.22979033,11049.2,11302.45,2.2407,0,0,0,0,10500,925.3975,,,
2020/01/10,BUY,Base4,20,8423.93,1111.7031,-222.3406,889.3625,1.22979033,0.02637281,0.00002112,1.25616314,11471.19,11471.19,0,0,0,0,0,10500,3523.9524,,,
2020/01/11,BUY,Base3,22,8024.25,889.3625,-195.6597,693.7027,1.25616314,0.02436405,0.00001951,1.28052719,10968.97,11471.19,4.3781,0,0,0,0,10500,393.3133,,,
2020/01/12,BUY,Base3,22,8247.04,693.7027,-152.6146,541.0881,1.28052719,0.01849057,0.0000148,1.29901776,11254.14,11471.19,1.8922,0,0,0,0,10500,900.5077,,,
2020/01/13,BUY,Base3,22,8343.47,541.0881,-119.0394,422.0487,1.29901776,0.01425596,0.00001141,1.31327372,11379.31,11471.19,0.801,0,0,0,0,10500,1056.3191,,,
2020/01/14,BUY,Base4,20,8859.47,422.0487,-84.4097,337.639,1.31327372,0.00952001,0.00000762,1.32279373,12056.89,12056.89,0,0,0,0,0,10500,4764.7663,,,
2020/01/15,BUY,Base4,20,8973.55,337.639,-67.5278,270.1112,1.32279373,0.00751918,0.00000602,1.33031291,12207.74,12207.74,0,0,0,0,0,10500,4998.4627,,,
2020/01/16,BUY,Base4,20,8759.52,270.1112,-54.0222,216.089,1.33031291,0.00616233,0.00000493,1.33647524,11922.97,12207.74,2.3327,0,0,0,0,10500,2108.0171,,,
2020/01/17,BUY,Base4,20,9044.16,216.089,-43.2178,172.8712,1.33647524,0.00477471,0.00000382,1.34124995,12303.35,12303.35,0,0,0,0,0,10500,3626.9468,,,
2020/01/18,BUY,Base4,20,8931.75,172.8712,-34.5742,138.2969,1.34124995,0.00386784,0.0000031,1.34511779,12152.55,12303.35,1.2257,0,0,0,0,10500,2211.2563,,,
2020/01/19,BUY,Base4,20,8729.46,138.2969,-27.6594,110.6375,1.34511779,0.00316598,0.00000253,1.34828376,11880.43,12303.35,3.4375,0,0,0,0,10500,1126.0286,,,
2020/01/20,BUY,Base4,20,8827.26,110.6375,-22.1275,88.51,1.34828376,0.00250472,0.00000201,1.35078848,12012.27,12303.35,2.3659,0,0,0,0,10500,1228.4705,,,
2020/01/21,BUY,Base4,20,8924.99,88.51,-17.702,70.808,1.35078848,0.00198183,0.00000159,1.35277031,12144.27,12303.35,1.293,0,0,0,0,10500,1325.1582,,,
2020/01/22,BUY,Base4,20,8660.33,70.808,-14.1616,56.6464,1.35277031,0.00163392,0.00000131,1.35440423,11786.23,12303.35,4.2031,0,0,0,0,10500,646.2318,,,
2020/01/23,BUY,Base4,20,8550.87,56.6464,-11.3293,45.3171,1.35440423,0.00132387,0.00000106,1.3557281,11637.97,12303.35,5.4081,0,0,0,0,10500,451.9788,,,
2020/01/24,BUY,Base4,20,8587.89,45.3171,-9.0634,36.2537,1.3557281,0.00105453,0.00000084,1.35678263,11688.15,12303.35,5.0002,0,0,0,0,10500,448.7055,,,
2020/01/25,BUY,Base3,22,8412.78,36.2537,-7.9758,28.2779,1.35678263,0.0009473,0.00000076,1.35772993,11450.56,12303.35,6.9314,0,0,0,0,10500,273.9342,,,
2020/01/26,BUY,Base4,20,8809.64,28.2779,-5.6556,22.6223,1.35772993,0.00064146,0.00000051,1.35837139,11989.39,12303.35,2.5519,0,0,0,0,10500,594.4601,,,
2020/01/27,BUY,Base4,20,9038.54,22.6223,-4.5245,18.0979,1.35837139,0.00050017,0.0000004,1.35887157,12300.31,12303.35,0.0247,0,0,0,0,10500,823.5921,,,
2020/01/28,BUY,Base4,20,9375.98,18.0979,-3.6196,14.4783,1.35887157,0.00038574,0.00000031,1.3592573,12758.85,12758.85,0,0,0,0,0,10500,1295.5636,,,
2020/01/29,BUY,Base4,20,9299.96,14.4783,-2.8957,11.5826,1.3592573,0.00031111,0.00000025,1.35956842,12655.51,12758.85,0.8099,0,0,0,0,10500,1042.3435,,,
2020/01/30,BUY,Base4,20,9493.09,11.5826,-2.3165,9.2661,1.35956842,0.00024383,0.0000002,1.35981224,12918.09,12918.09,0,0,0,0,0,10500,1260.3363,,,
2020/01/31,BUY,Base4,20,9335.05,9.2661,-1.8532,7.4129,1.35981224,0.00019836,0.00000016,1.36001061,12703.18,12918.09,1.6636,0,0,0,0,10500,916.6099,,,
2020/02/01,BUY,Base4,20,9403.6,502.7696,-100.5539,162.8321,1.36001061,0.01068458,0.00000855,1.37069519,13052.3,13052.3,0,0,500,495.3568,239.3836,11000,650.5089,,,
2020/02/02,BUY,Base4,20,9323.72,162.8321,-32.5664,130.2656,1.37069519,0.00349006,0.00000279,1.37418525,12942.78,13052.3,0.8391,0,0,0,0,11000,540.0775,,,
2020/02/03,BUY,Base4,20,9286.36,130.2656,-26.0531,104.2125,1.37418525,0.00280328,0.00000224,1.37698853,12891.42,13052.3,1.2326,0,0,0,0,11000,479.0132,,,
2020/02/04,BUY,Base4,20,9176,104.2125,-20.8425,83.37,1.37698853,0.0022696,0.00000182,1.37925813,12739.44,13052.3,2.397,0,0,0,0,11000,384.0909,,,
2020/02/05,BUY,Base4,20,9612.73,83.37,-16.674,66.696,1.37925813,0.00173319,0.00000139,1.38099131,13341.79,13341.79,0,0,0,0,0,11000,649.4406,,,
2020/02/06,BUY,Base4,20,9752.83,66.696,-13.3392,53.3568,1.38099131,0.00136663,0.00000109,1.38235795,13535.26,13535.26,0,0,0,0,0,11000,720.1147,,,
2020/02/07,BUY,Base4,20,9808.26,53.3568,-10.6714,42.6854,1.38235795,0.00108713,0.00000087,1.38344507,13611.87,13611.87,0,0,0,0,0,11000,719.1704,,,
