date,action,rule,trade_pct,btc_price,usdt_before,usdt_delta,usdt_after,btc_before,btc_delta,btc_fee,btc_after,nav,peak_nav,drawdown_pct,bear_pause,contrib_gross,contrib_net,platform_fee_paid,perf_fee_paid,platform_fees_cum,cum_gross_contrib,cagr_pct,total_roi_pct
2016/02/21,BUY,Base3,22,440.69,10402.4918,-2288.5482,8113.9436,0,5.18894766,0.00415448,5.18894766,10400.66,10400.66,0,0,10500,10402.4918,78.6082,0,78.6082,10500,0,-0.9461
2016/02/22,BUY,Base3,22,440.39,8113.9436,-1785.0676,6328.876,5.18894766,4.05013631,0.0032427,9.23908398,10397.68,10400.66,0.0287,0,0,0,0,0,78.6082,10500,0,-0.9745
2016/02/23,BUY,Base3,22,421.63,6328.876,-1392.3527,4936.5233,9.23908398,3.29966756,0.00264185,12.53875154,10223.24,10400.66,1.7059,0,0,0,0,0,78.6082,10500,0,-2.6358
2016/02/24,BUY,Base3,22,426.32,4936.5233,-1086.0351,3850.4881,12.53875154,2.54542665,0.00203797,15.08417819,10281.17,10400.66,1.1488,0,0,0,0,0,78.6082,10500,0,-2.084
2016/02/25,BUY,Base3,22,425.34,3850.4881,-847.1074,3003.3808,15.08417819,1.9900073,0.00159328,17.07418549,10265.71,10400.66,1.2975,0,0,0,0,0,78.6082,10500,-87.2612,-2.2313
2016/02/26,BUY,Base3,22,434.75,3003.3808,-660.7438,2342.637,17.07418549,1.51860879,0.00121586,18.59279428,10425.85,10425.85,0,0,0,0,0,0,78.6082,10500,-40.4094,-0.7061
2016/02/27,BUY,Base3,22,434.4,2342.637,-515.3801,1827.2569,18.59279428,1.18546923,0.00094913,19.77826351,10418.93,10425.85,0.0664,0,0,0,0,0,78.6082,10500,-37.6128,-0.7721
2016/02/28,BUY,Base3,22,434.68,1827.2569,-401.9965,1425.2603,19.77826351,0.92407037,0.00073985,20.70233388,10424.15,10425.85,0.0163,0,0,0,0,0,78.6082,10500,-31.4969,-0.7224
2016/02/29,BUY,Base3,22,438.68,1425.2603,-313.5573,1111.7031,20.70233388,0.71420268,0.00057182,21.41653656,10506.71,10506.71,0,0,0,0,0,0,78.6082,10500,2.9594,0.0639
2016/03/01,BUY,Base3,22,435,1607.0598,-353.5532,1250.8114,21.41653656,0.81211567,0.00065021,22.22865223,10920.28,10920.28,0,0,500,495.3568,3.7433,2.6953,82.3515,11000,-25.5623,-0.7248
2016/03/02,BUY,Base3,22,423.13,1250.8114,-275.1785,975.6329,22.22865223,0.64982006,0.00052027,22.87847229,10656.2,10920.28,2.4182,0,0,0,0,0,82.3515,11000,-68.6448,-3.1254
2016/03/03,BUY,Base3,22,421.43,975.6329,-214.6392,760.9936,22.87847229,0.50890426,0.00040745,23.38737655,10617.14,10920.28,2.7759,0,0,0,0,0,82.3515,11000,-69.1583,-3.4806
2016/03/04,BUY,Base3,22,409.93,760.9936,-167.4186,593.575,23.38737655,0.40808106,0.00032673,23.79545761,10348.05,10920.28,5.2401,0,0,0,0,0,82.3515,11000,-84.4274,-5.9268
2016/03/05,BUY,Base3,22,398.56,593.575,-130.5865,462.9885,23.79545761,0.32738368,0.00026212,24.12284129,10077.39,10920.28,7.7186,0,0,0,0,0,82.3515,11000,-91.4672,-8.3874
